Branch-instructions,Branch-misses,Bus-cycles,Cache-misses,Cache-references,CPU-cycles,Instructions,L1 dcache load misses, L1 dcache loads,L1 dcache stores,L1 icache load misses,LLC-load-misses, LLC-loads,LLC-store-misses,LLC-stores,branch-load-misses,branch-loads,dTLB-load-misses,dTLB-store-misses,iTLB-load-misses,class
32751,6403,502189,4382,141396,708160,346748,350,17821,19015,2356,5225,27898,5320,27693,9388,72017,337,36,47,1
38303,3145,356246,2394,146938,1158022,311508,4378,109870,109295,16493,2198,10542,2230,10760,8542,76812,271,14,3,1
32315,6157,473079,4318,148919,711501,365725,3062,165659,169914,3377,4675,25199,4766,25031,7883,59061,337,101,111,1
36021,3093,357755,2341,146898,2408463,790059,3106,105647,101604,9453,2216,11569,2244,11833,5813,51887,116,8,7,1
35991,6781,534026,4562,147473,712280,358108,2269,148926,152597,3542,4898,26486,4974,26348,3177,66256,9,160,151,1
59328,5682,686827,4520,152333,1230164,325357,2979,108197,104796,8723,2213,10095,2236,10401,3027,61905,13,29,39,1
3960,1038,73246,474,151520,708712,371197,2379,153286,157239,3586,4517,25909,4615,25767,923,5577,2,29,35,1
18718,6127,428844,4319,141667,1149169,302109,3151,107431,103625,8857,237,3044,376,3520,5628,35606,226,10,14,1
37661,3128,358459,2430,151690,708726,367181,349,17478,18916,2419,4363,21629,4314,21132,3196,65382,4,8,5,1
34982,6637,531503,4642,139254,1162309,299123,3025,72841,71656,10299,279,2776,406,3534,2956,63375,8,152,151,1
36817,3044,357652,2273,152494,709733,368453,427,17481,18671,2292,4524,24743,4498,24717,1074,6451,5,43,46,1
35286,6568,503667,4509,139949,1141448,299296,2319,55834,55259,7696,284,2798,421,3472,6354,42960,285,3,6,1
39183,3151,356289,2438,129240,707110,335630,2389,143381,147954,3984,4123,21075,4069,20595,3093,62434,21,139,144,1
35424,7119,555103,5042,172594,1263924,357078,2884,111463,107374,8021,2381,9961,2404,10218,8686,68713,347,37,56,1
38435,3211,357124,2405,146858,710970,360948,936,28974,30166,3902,4798,24785,4878,24583,5084,42690,210,22,37,1
35356,7046,543914,4991,126583,985300,274735,350,18043,19236,2239,3886,21724,3878,21619,3159,62655,8,2,5,1
38323,3185,359392,2323,16759,139795,36152,4595,132501,131675,16301,340,2859,482,3572,6423,47763,299,135,146,1
34840,6523,496906,4307,151541,711785,368020,31,343708,349894,350,4238,21216,4180,20747,6449,44030,133,28,38,1
39339,3327,356530,2472,160535,1187072,326831,678,346093,339158,2819,2175,11063,2202,11201,3080,65246,23,30,32,1
30120,5740,431706,3877,19331,173375,40803,38,344413,351293,308,4722,25033,4799,24996,3147,64886,9,11,19,1
37913,3167,358175,2409,67914,637531,148165,2318,138616,142408,4047,2471,10509,2518,10783,1133,6825,9,7,5,1
36708,6977,521087,4929,51159,376380,108098,5268,172306,168829,17023,5062,25736,5136,25533,6765,46146,265,135,133,1
38441,3406,360379,2492,51418,356886,108933,826,24417,25610,2890,2129,10229,2157,10488,2881,64599,14,25,37,1
33446,6297,479167,4169,87649,554179,176394,2398,61066,60564,8697,3949,23338,3912,22917,2487,54091,12,24,6,1
38632,3170,358037,2361,152961,705636,368603,36,341950,349548,364,2217,10795,2247,10962,10165,86822,256,179,201,1
33990,6362,486381,4369,158983,1195121,335130,1066,220365,212121,4073,4987,26769,5078,26627,2999,64165,9,25,5,1
38719,3210,359304,2518,16418,145341,35973,358,17657,18846,2333,371,3584,519,4374,3132,64417,9,347,343,1
34446,6658,500222,4543,69271,680082,149803,2772,66259,65786,9942,4524,22216,4474,21617,3062,64091,10,17,3,1
37850,3308,356418,2486,54813,428353,115702,343,18384,19575,2296,2640,12267,2686,12454,2892,61756,13,216,225,1
37984,3195,356067,2337,81552,634406,173131,2889,69377,68128,10324,5132,26028,5209,25899,3109,64493,14,9,6,1
34630,6547,502451,4365,45742,323842,95049,338,17469,18659,2208,2201,10215,2214,10401,3190,65156,12,263,261,1
37555,3183,356234,2339,135471,716644,341332,2106,54138,53317,7354,5004,26444,5100,26291,2986,63777,5,15,4,1
39173,9774,366322,4888,101278,731106,264070,2408,150780,152618,9507,4094,19408,4255,20152,251,83973,0,317,434,1
59434,8221,643001,4035,157494,1103917,329700,4104,215618,214753,14194,5664,32231,5524,31469,196,141954,1,421,560,1
58140,7058,422323,2488,131148,945746,400627,4082,118313,117321,15575,4384,23597,4473,23927,115,114538,0,312,407,1
45055,8098,406999,2607,133899,995785,473861,4258,109554,109903,12875,3307,16000,3194,15675,510,104260,4,332,515,1
45378,8787,434950,3222,143165,924856,557543,4311,98613,98270,13750,4466,19221,4565,19255,331,102926,0,393,523,1
21790,5840,435551,3739,148277,964852,687115,4720,129167,129212,14479,2470,18226,2458,18490,190,110210,0,344,372,1
25792,7667,433218,4876,146041,1023582,679651,5287,128637,128862,15864,2396,18550,2386,18449,110,113419,0,216,275,1
