Branch-instructions,Branch-misses,Bus-cycles,Cache-misses,Cache-references,CPU-cycles,Instructions,L1 dcache load misses, L1 dcache loads,L1 dcache stores,L1 icache load misses,LLC-load-misses, LLC-loads,LLC-store-misses,LLC-stores,branch-load-misses,branch-loads,dTLB-load-misses,dTLB-store-misses,iTLB-load-misses,class
8644,1520,85060,486,168451,756563,464979,716,36577,36577,3864,3815,19939,3712,19959,1143,56323,136,0,0,0
8828,1495,104002,485,141392,889701,327516,553,36419,36418,3382,1161,8971,1174,9127,2152,71816,3,14,2,0
12358,2490,171017,1196,133186,782028,309254,543,36131,36132,3842,3071,16783,3145,16816,4210,44488,374,0,0,0
10194,2052,102674,650,198326,777084,507740,535,35705,35951,3990,4301,23792,4226,23684,4461,72134,234,3,0,0
11877,2494,139025,745,202492,786359,529267,740,45525,45280,6304,3919,25940,3944,25849,3160,60004,243,0,0,0
10047,1956,103757,522,160512,782324,337557,1065,42582,42582,4472,3633,21165,3606,21619,3255,57902,226,0,0,0
11935,2681,180400,922,126023,778660,281947,1009,46564,46564,5098,3597,21803,3587,21544,4059,68410,193,91,81,0
10420,2078,164853,614,158463,776683,338737,1320,44961,44960,3795,2859,22091,2843,21876,3939,70006,188,0,0,0
10992,2190,156321,641,184214,769095,428383,801,37297,37297,4072,2502,20881,2573,21151,3868,63386,161,0,0,0
10876,2171,117234,633,120017,778519,292660,631,38298,38299,3734,3082,16655,3011,16443,4095,73419,179,10,0,0
10227,2036,111151,488,183108,764868,461298,579,38007,38007,4448,2456,14431,2489,14598,4099,73248,176,0,0,0
10189,1954,89571,511,134002,754704,300786,516,35702,35701,3599,3242,20372,3331,20341,4227,71648,185,0,0,0
9913,1866,96112,481,200754,766100,508918,502,35632,35631,3329,3697,17183,3672,17313,3461,52282,2527,0,0,0
9885,1846,94915,527,151081,746648,344448,1194,49761,49763,4770,4219,24976,4138,25013,1219,8776,73,0,0,0
11003,2207,122430,581,175908,811022,521147,706,43779,43779,4496,3568,19349,3668,19390,2222,22647,32,0,0,0
11156,2282,135946,678,123390,756985,277227,588,39657,39656,3604,3895,21099,3814,20874,4185,53056,0,0,0,0
10051,1948,107092,557,142551,765378,298019,675,43735,43735,4536,3644,24913,4205,24859,3868,49295,0,0,1,0
10146,1965,111132,510,145095,793072,361780,596,38920,38920,3572,5268,24199,4772,24145,3986,50761,0,0,0,0
12156,2755,184824,948,139146,793460,334966,893,47358,47679,5081,3669,19966,3601,20331,3905,48770,0,0,0,0
10097,2061,140949,559,130799,783572,279516,1663,47740,47419,4681,3460,18323,3519,18112,3896,49775,0,1,0,0
10020,1907,123826,495,131859,777410,359947,770,39945,39945,4183,3845,25425,3819,25467,3946,50339,0,0,0,0
10375,2072,131123,581,159718,781574,386980,601,40385,40384,3958,3507,27452,3475,27393,3849,49080,0,0,0,0
10106,1930,114645,504,124913,767680,279311,664,41939,41941,4143,3338,23096,3344,23197,4076,50723,0,0,0,0
11196,2224,130940,596,150646,830024,333618,685,43297,43296,4849,3099,26261,3054,25899,2788,27383,376,0,0,0
10041,2013,109760,555,147205,887785,355080,572,38304,38304,4341,3595,24537,3634,24843,512,32406,2108,0,0,0
10213,1941,122239,519,157511,775370,402091,547,39406,39407,4077,3585,26814,3632,26786,1226,58689,30,0,0,0
10253,1886,112932,485,131314,767819,312619,514,37657,37657,4391,4599,25017,4539,25034,1591,66948,12,0,0,0
11186,2200,139559,704,129122,776797,279520,644,43625,43627,4849,3688,23999,3721,23998,3932,54257,265,0,0,0
9918,1895,114908,515,143124,782140,352653,571,40220,40218,4463,3810,23639,3781,23559,3573,66679,246,0,0,0
10493,2022,116746,609,131140,771679,280868,569,38691,38691,3801,2774,21202,2838,21218,2295,42606,136,0,0,0
13750,2726,223549,1652,151048,792349,368095,935,47337,47337,5128,4151,21687,4106,21959,3925,65289,236,0,0,0
10587,2212,170589,752,139260,771390,335083,651,39083,39082,3870,4349,22275,4456,22261,4129,72971,197,0,0,0
11769,2445,163559,756,138671,840943,303458,802,48074,48074,5080,5306,22301,5219,22203,4306,74565,191,0,0,0
10447,2103,125154,608,123332,801221,310076,668,42065,42066,4314,3883,22430,3844,22523,4006,71771,178,0,0,0
9914,1889,104674,513,143528,790837,370314,602,38856,38856,3660,4489,27422,4581,27196,4079,70307,181,0,0,0
9885,1810,102258,515,139510,807997,302326,536,40145,40145,4523,3769,20875,3706,20893,5287,87910,232,0,0,0
10005,1832,94231,484,134334,790566,318091,534,39523,39522,6119,3968,24723,3931,24656,3193,56446,2470,0,0,0
9866,1806,108641,493,129406,783241,279869,498,39432,39433,4234,3597,22348,3586,22244,2071,15785,185,0,0,0
12816,2881,184083,1143,165316,787739,411649,1066,50486,50486,5979,2218,16272,2253,16524,2207,24757,2,0,0,0
14351,2935,192641,1666,183194,834046,403266,1612,55997,55997,5629,5259,27453,5269,27318,4089,51938,0,0,0,0
9976,2047,106234,686,132996,792384,285581,736,39050,39050,4306,2722,23090,2705,23333,3887,48630,6,0,0,0
12938,2942,172819,1042,200945,857504,449916,738,45083,45082,4930,3117,21642,3189,21362,4499,57345,0,0,0,0
10863,2238,162076,1055,131521,755643,294181,1753,58150,58150,6637,2462,23397,2359,23703,3867,48190,20,0,0,0
10506,2113,129358,645,145263,771970,348668,734,39645,39645,4050,2935,24683,2965,24497,3725,47697,0,0,0,0
9900,1909,102515,552,157744,768153,392459,595,38735,38733,3595,2290,25470,2254,25175,4140,52833,0,0,0,0
10483,1987,105559,602,157292,776180,398930,623,40994,40996,4027,1476,26322,1474,26339,3680,47012,0,0,0,0
9906,1937,93476,513,174147,761632,427162,545,38492,38491,3558,1330,26033,1611,26432,4150,52482,1,0,0,0
10249,1907,102222,512,193537,759632,465025,555,39530,39530,3822,1527,24729,1476,24758,2828,29635,71,0,0,0
9915,1864,104063,485,179705,748555,430032,505,38617,38618,4063,3438,21582,3210,21144,1257,27549,2239,0,0,0
10270,1810,108447,502,160976,750703,373817,531,39195,39195,3877,3864,23636,3943,23987,3025,50432,481,0,0,0
9877,1820,97005,505,154388,770625,381829,523,40255,40256,3782,3622,25031,3612,25002,1808,65619,37,0,0,0
12125,2460,141269,760,121077,827026,256013,745,48119,48119,5013,3585,24576,3638,24625,1754,66194,13,0,0,0
10207,1982,87450,557,149286,787552,360335,593,38456,38454,4075,3580,28329,3535,28333,1212,8612,5,0,0,0
10457,2038,156759,862,137638,769927,301079,891,46906,46909,6188,1884,11452,1941,11756,649,7555,0,0,0,0
13889,3038,205425,1239,189059,769661,481619,1369,47723,47722,4681,2519,8213,2460,7784,773,9126,0,0,0,0
10806,2157,158085,669,2394225,12602468,5910657,813,40290,40290,4036,4266,24414,4279,24440,653,7980,0,0,0,0
9925,1928,104750,558,129783,855760,263423,716,40623,40622,4284,4018,20637,4012,20755,632,7446,0,0,0,0
10597,2076,103096,565,154186,825958,363261,653,43343,43343,4181,3308,17052,3233,16669,846,9248,1,0,0,0
9890,1848,103742,522,135621,789733,309373,556,38891,38892,3658,1616,9875,1625,9954,592,7052,0,0,0,0
9895,1818,98150,475,144251,785394,343956,565,39156,39156,3538,2096,13833,2169,13829,2265,23858,55,0,0,0
10969,2134,126610,613,189703,805043,456909,604,43823,43822,4486,4892,21203,4887,21430,2166,28859,42,0,0,0
10063,1929,113261,502,159194,759276,378547,524,38936,38936,3887,3786,20607,3720,20433,615,7674,0,0,0,0
10173,1950,115124,524,118267,776606,242628,510,38701,38701,3745,4484,22743,4564,22830,759,8729,1,0,0,0
11372,2207,138462,629,150398,806780,367256,657,43761,43760,4902,3919,23247,3868,23282,630,6938,0,0,0,0
9922,1900,102841,559,117483,776437,298938,584,38824,38825,4296,3726,25594,3700,25478,674,7950,0,0,0,0
12230,2554,168499,861,129018,793918,251229,890,49511,49512,5357,3702,27677,3763,27850,681,8016,0,0,0,0
12515,2180,211108,1711,158710,792051,399492,1029,44074,44074,4125,3133,18031,3093,17945,651,7527,0,0,0,0
10376,1771,218250,988,51345,521080,112359,151,18056,18851,1406,3232,12784,3356,13039,1104,8058,11,16,1,0
4597,584,140975,110,60415,709277,129023,563,29317,28396,3609,5593,29200,5461,28870,3018,22408,43,26,14,0
3732,335,134004,29,41303,508642,86665,1604,51547,51054,7141,2729,34062,2730,34828,27442,299453,338,65,11,0
5017,580,163000,398,39305,390866,83262,1725,36792,37285,4943,2699,30291,2718,30235,4500,72275,108,50,0,0
3268,314,89027,28,42034,423252,88024,152,19056,19056,2318,3566,23806,3567,23777,4197,70697,64,110,9,0
3292,316,50576,26,40318,451425,85702,499,27477,27698,3803,2766,35466,2797,35052,5485,80132,62,54,22,0
3648,397,68721,95,37912,541986,78220,36,18835,18835,2910,2507,28803,2494,28917,6213,95186,39,47,41,0
4434,461,94210,62,44426,578686,94424,24,17692,17692,2172,2690,22451,2754,22283,7485,102648,27,90,39,0
37093,3663,843509,1435,38758,469067,80173,25,17874,17874,2288,2069,26727,1969,26569,6650,97994,28,118,62,0
3268,317,46681,40,42977,530208,88905,25,18167,18167,1886,1735,24522,2115,24923,7134,103394,11,87,58,0
4696,459,76832,63,59195,626764,122187,51,20814,20814,2491,2594,25482,2213,25146,5917,81219,127,52,25,0
3412,324,42781,39,41017,442344,87207,153,26407,26407,3281,1484,21094,1489,21064,5943,69760,125,32,5,0
3060,294,30277,42,36508,393983,75244,142,30559,36710,4080,1486,19685,1483,19573,27434,355146,254,13,9,0
3060,296,30593,42,35017,341399,72944,2238,48333,42181,6063,2964,27661,3050,27852,6981,74948,145,24,5,0
3769,375,59208,56,34347,400858,71911,378,23585,23266,3730,2674,25560,2608,25416,6295,64846,111,8,5,0
4673,426,91557,346,34469,371233,71183,3045,247940,249364,8923,2440,27281,2491,27698,8416,78273,83,106,37,0
3036,291,29828,45,34180,368495,71076,3045,284996,285361,6601,3180,21605,3137,21207,6463,52542,128,99,60,0
2749,291,28040,44,51156,576943,107201,3226,383273,383428,11750,2680,21343,2679,21394,3751,25890,99,56,9,0
2994,280,31545,43,35377,296938,73611,4565,288928,288402,6391,2444,23520,2573,23787,4575,41041,79,38,9,0
3340,321,32912,43,44444,305770,90831,5049,165439,164173,8874,3497,20999,3427,20821,4041,25992,116,112,103,0
4443,416,68739,121,35119,269635,72522,7581,140422,140477,11097,3643,19854,3812,19759,7671,68340,65,120,54,0
3036,294,27704,41,39737,448716,82260,6303,162851,164722,9619,3966,19218,3789,19255,8359,94181,51,145,97,0
3036,292,28917,40,36660,465097,76310,1952,213814,213235,3887,4311,20740,4272,20830,7670,77693,85,76,75,0
6015,565,120633,387,41398,496713,87429,1039,267819,269080,1234,3920,24751,3954,24641,8866,96225,36,59,37,0
3060,296,27089,43,40396,422594,85484,1367,302933,299705,1627,4465,20291,4535,20303,6637,71671,66,30,25,0
4016,388,62359,102,34439,350986,71042,3425,119776,122877,3695,2728,15984,2607,16393,5792,61930,151,100,55,0
3060,294,32527,53,34820,303958,73294,3568,119202,117367,2411,2710,19182,2749,18757,7174,85242,68,156,137,0
3703,347,58265,58,34520,282294,71220,1867,69992,69514,8818,3390,16509,3444,16729,6329,68865,110,154,140,0
3060,295,29787,44,45437,647653,93243,42,18842,18842,1795,3418,19899,3388,19608,6921,89289,69,80,39,0
3060,292,31993,46,39448,626373,107024,27,18168,18168,1272,3437,18700,3373,18937,6523,65303,133,74,45,0
2950,304,32625,42,48510,421139,75473,660,32804,33036,3609,4583,19095,4611,19017,6380,46904,224,194,143,0
5928,762,94418,407,34726,253264,72326,2105,58869,58637,4704,2328,21822,2273,21751,7823,67763,220,136,70,0
4930,633,51413,46,35457,267950,76843,120,18394,18394,1204,3516,24059,3534,24040,7598,109814,43,54,28,0
6319,807,81019,144,36186,290459,72281,2613,58845,58845,7041,2053,22970,2063,23303,6852,85666,96,143,101,0
4465,572,36455,46,34041,297411,70872,628,29171,29171,2889,2283,24022,2309,23597,6615,54251,282,105,48,0
5406,656,59748,67,34089,295973,70824,36,17702,17702,1024,4576,23473,4631,23665,7524,52615,244,72,60,0
4800,628,35328,41,42452,328507,89110,104,19305,19305,670,4395,25640,4300,25963,7262,59852,217,94,49,0
4824,613,37231,42,44949,240969,93417,38,17110,17111,827,2477,16507,2458,15932,7627,89171,107,66,50,0
4824,598,41889,42,39304,235013,81555,24,16639,16639,637,1374,9105,1410,9208,7550,56807,202,142,89,0
5534,685,60978,61,33961,196477,70558,25,16570,16570,1744,2991,22459,3000,22632,8072,108950,95,248,143,0
4465,601,32885,42,35445,210887,73832,24,16065,15882,618,3551,24608,3556,24524,6536,48078,178,274,225,0
4572,570,37852,40,47100,351143,99609,25,16381,16564,790,3621,24649,3611,24588,7773,109737,65,218,141,0
4465,567,41789,40,40503,387714,85436,92,21246,21246,872,2051,19825,2026,19599,6963,55217,254,27,15,0
4800,612,40214,40,173576,1295281,566513,36,16564,17041,622,4248,22744,4236,22729,6219,77062,105,233,161,0
4594,598,32769,40,212632,911095,615600,45,17739,17262,845,1273,18673,1268,18717,7013,54895,243,314,186,0
4774,629,33687,40,150452,833592,417982,3305,72810,72810,7676,3529,22758,3521,22776,7231,57284,267,270,197,0
6167,749,82796,93,162036,905056,280256,745,30092,30091,2948,1383,9066,1466,9197,8333,76070,247,155,101,0
4795,599,43455,48,194891,1317438,445221,64,23651,23542,823,4178,22915,4121,22778,7594,64741,283,100,60,0
5723,713,73463,65,64217,366337,115729,4003,106468,106520,11291,2159,14487,2205,14723,8518,53836,282,133,103,0
4834,652,42355,52,21317,125221,42720,535,23410,23467,1660,3837,22154,3779,22178,8767,71666,193,45,11,0
4453,566,35302,42,12405,78165,26099,37,17702,17702,142,3451,22915,3449,22609,8439,92405,107,200,177,0
5654,716,65387,73,34651,300849,67461,22,16632,17091,390,3006,20898,3054,21156,8136,50123,233,76,41,0
5451,690,60761,53,12973,48133,23331,38,19452,18994,171,2744,22019,2718,21984,7933,51931,236,275,226,0
4833,648,46450,47,12401,47988,23452,121,21565,21565,794,3900,24704,3954,24686,8280,66266,202,233,123,0
4480,660,44217,47,14751,89507,30151,68,18844,18844,1349,2772,20153,2682,19921,8094,68167,201,117,98,0
4815,630,38799,47,13061,49584,22777,27,17052,17052,584,2790,19238,2836,19480,8781,83451,192,183,159,0
5241,612,36695,48,13396,53934,25372,2595,63042,63045,7307,3773,24899,3778,25075,8316,52261,361,218,177,0
4824,567,36175,42,24598,162719,56256,635,28954,28951,2446,3114,26948,3100,26822,7598,48302,290,96,65,0
5955,705,84951,104,22339,113128,49902,40,20072,20071,1049,3327,23648,3324,23747,8163,69674,175,230,143,0
5494,679,50929,69,16591,73004,39713,3787,106784,106575,11633,2090,24562,2058,24160,7367,44972,237,214,153,0
4871,662,35457,44,20502,138405,47152,724,27644,27853,2167,3150,25127,3254,25624,7682,75552,104,230,139,0
5810,761,65347,70,15365,73248,36803,37,17696,17696,1169,3110,29133,3040,29080,6462,56093,172,119,69,0
4929,662,46934,40,14920,96015,39484,28,16635,16635,777,2866,21938,2851,21681,7688,53391,246,180,139,0
4800,573,41814,43,46155,470855,92958,24,16556,16556,954,3282,27038,3370,27368,6406,52914,262,262,197,0
4737,563,38188,43,15699,71455,37870,26,17693,17693,383,3738,21268,3657,21002,7617,75783,184,309,200,0
5784,672,57705,63,21265,135170,49538,149,22714,22714,817,3619,23044,3678,23093,7246,65710,257,277,163,0
4900,577,35148,43,18177,93396,42391,46,19759,19759,595,3161,24264,3149,24261,7780,57351,214,152,118,0
4800,564,34621,47,15287,60685,36562,2109,61862,62092,6997,3825,22052,3765,22005,7666,51962,261,125,93,0
4800,562,37916,42,16505,76328,39493,1666,35939,35709,3687,2767,20565,2845,20631,8227,53909,311,219,179,0
4823,562,36688,42,15288,67657,36562,803,32606,32606,3047,3761,25421,4031,26104,9158,105433,133,326,287,0
5134,609,39704,52,16495,66137,39488,164,23075,23075,1889,4310,21266,3996,20757,7903,61222,250,171,109,0
6392,770,68933,83,15360,70611,36732,29,16560,16560,1778,3977,26738,3981,26632,5758,59263,178,175,141,0
4713,645,34137,46,20461,147563,47439,26,16558,16558,1031,2725,19538,2689,19254,7601,92554,70,233,140,0
5260,662,46297,64,15284,74201,36558,29,17702,17702,445,2500,18537,2546,18744,6729,58163,221,69,44,0
4924,655,36110,46,17484,92045,41471,24,17692,17692,661,4121,25958,4084,26110,9497,99590,136,364,239,0
5622,721,54457,68,45658,527323,94648,25,16629,16629,1414,2319,22741,2314,22498,7561,81218,123,355,252,0
4799,561,34139,46,22497,131793,53290,86,20345,20345,1183,3732,18728,3807,18773,8461,87520,115,2031,1335,0
5490,685,50464,54,14915,64810,35831,27,16559,16559,1039,1802,25073,1709,24856,9134,95793,94,833,490,0
4915,658,38618,51,17328,102521,40775,47,18519,18519,733,2817,23092,2855,23440,9409,90894,102,117,63,0
4852,646,32533,44,14916,62744,35836,2955,63252,63119,7181,2021,26998,1981,26661,8933,93177,96,186,119,0
5164,695,35650,42,15286,67589,37607,621,23777,23911,1948,1020,25473,1025,25852,6570,69669,193,300,198,0
4828,650,31915,42,15891,67419,36742,40,17707,17707,209,1066,22947,1058,22517,7063,50992,242,260,173,0
4828,649,32467,44,15289,66334,39324,109,19984,19984,899,915,24674,960,25318,8575,67277,243,331,293,0
6014,742,61540,86,16496,62516,36714,31,16564,17041,456,3367,20585,3396,20062,7831,58087,318,464,263,0
5212,627,35425,48,19628,120707,45889,27,17051,16574,629,3969,23913,3911,24239,8684,65181,291,89,34,0
5776,682,48303,68,16849,76452,39744,26,16639,16639,221,4443,26548,4550,26406,7434,111319,18,27,13,0
4906,565,32756,45,15288,60342,36562,24,16564,16564,206,3242,23128,3228,23045,6229,109030,75,336,214,0
4800,564,32507,44,40166,322437,85324,26,17021,17021,204,2781,29741,2706,29617,7530,46798,312,320,198,0
