Branch-instructions,Branch-misses,Bus-cycles,Cache-misses,Cache-references,CPU-cycles,Instructions,L1 dcache load misses, L1 dcache loads,L1 dcache stores,L1 icache load misses,LLC-load-misses, LLC-loads,LLC-store-misses,LLC-stores,branch-load-misses,branch-loads,dTLB-load-misses,dTLB-store-misses,iTLB-load-misses,class
4278,434,43408,74,19535,105541,39150,52,15075,14948,754,11,793,10,1156,934,5610,4,41,23,1
38045,3268,358407,2285,23880,165736,48666,42,19944,19944,1674,3781,16543,3787,16133,9454,59811,413,12,5,1
212179,11311,1063277,3539,14338,88660,26266,77,22171,22171,687,5395,25693,5541,25926,3536,20542,88,195,147,1
5683,682,87678,457,12625,56511,25722,44,16790,16663,822,664,2576,666,2689,317,3868,0,51,47,1
4076,1195,81161,609,18743,114906,34389,27,19932,19932,1739,1536,7108,1543,6945,5278,29181,303,22,12,1
17450,3982,304256,2402,146336,709396,358390,76,22661,22661,622,365,2929,360,2941,8459,63593,340,9,6,1
10668,2191,157016,1457,193494,1311339,747376,2388,144583,147990,3824,2116,10965,2132,11173,569,6671,0,158,140,1
3846,470,45353,87,119738,864044,677738,2745,160461,158023,8808,4456,22999,4579,23042,5313,30729,255,66,54,1
7123,764,124015,464,149784,729653,364094,59,123369,122792,38,1235,5944,1082,5498,7941,61281,334,46,46,1
2644,261,21473,37,185517,1250601,745484,551,29847,29907,2584,1920,6488,1928,6527,2242,15269,88,0,0,1
2942,356,24777,42,122475,909426,679842,2266,144024,147971,4041,2215,11536,2241,11763,546,7067,0,53,42,1
5597,559,90773,378,143762,705435,351489,2853,154625,151424,9144,4300,22220,4268,21802,5611,31482,353,0,0,1
4162,442,49531,104,191074,1231906,759957,58,122754,122455,39,310,571,303,557,7824,62033,331,91,71,1
6748,1553,119728,1211,115647,827261,650963,579,42596,42570,2719,1945,5188,1982,5292,320,3732,0,7,11,1
15885,3517,274513,2325,14334,62309,32924,68,16923,15635,630,2385,10653,2424,10959,4996,33610,172,8,8,1
62293,12953,757808,6109,24133,161666,55942,42,19983,19983,1386,2916,17464,2878,17043,3032,19448,95,155,110,1
